sample_name,Concentration(M),1700,1695,1690,1685,1680,1675,1670,1665,1660,1655,1650,1645,1640,1635,1630,1625,1620,1615,1610,1605,1600,1595,1590,1585,1580,1575,1570,1565,1560,1555,1550,1545,1540,1535,1530,1525,1520,1515,1510,1505,1500,1495,1490,1485,1480,1475,1470,1465,1460,1455,1450,1445,1440,1435,1430,1425,1420,1415,1410,1405,1400,1395,1390,1385,1380,1375,1370,1365,1360,1355,1350,1345,1340,1335,1330,1325,1320,1315,1310,1305,1300,1295,1290,1285,1280,1275,1270,1265,1260,1255,1250,1245,1240,1235,1230,1225,1220,1215,1210,1205,1200,1195,1190,1185,1180,1175,1170,1165,1160,1155,1150,1145,1140,1135,1130,1125,1120,1115,1110,1105,1100,1095,1090,1085,1080,1075,1070,1065,1060,1055,1050,1045,1040,1035,1030,1025,1020,1015,1010,1005,1000,995,990,985,980,975,970,965,960,955,950,945,940,935,930,925,920,915,910,905,900
D1,0.232,0.0095,0.0099,0.0101,0.0104,0.0108,0.0108,0.0108,0.0109,0.011,0.011,0.011,0.011,0.011,0.011,0.0115,0.0119,0.0115,0.0111,0.0108,0.0109,0.0107,0.0097,0.0102,0.0116,0.013,0.0125,0.0105,0.0099,0.0089,0.0065,0.0031,0.0005,-0.0002,-0.0006,-0.003,-0.0046,-0.005,-0.0048,-0.0054,-0.0058,-0.0047,-0.0021,-0.0017,-0.0004,0.0018,0.0037,0.004,0.0036,0.0052,0.0061,0.0058,0.0039,0.0031,0.0019,0.0006,-0.0021,-0.0039,-0.0053,-0.0051,-0.0043,-0.0051,-0.0054,-0.0053,-0.0058,-0.0058,-0.0062,-0.006,-0.0052,-0.0044,-0.0033,-0.0025,-0.0019,-0.0014,-0.0009,-0.0006,-0.0002,0.0001,0.0004,0.0006,0.0008,0.001,0.0012,0.0013,0.0014,0.0015,0.0016,0.0017,0.0018,0.0018,0.0019,0.0019,0.002,0.002,0.002,0.002,0.0019,0.0019,0.0018,0.0017,0.0016,0.0015,0.0014,0.0012,0.0011,0.0009,0.0007,0.0005,0.0004,0.0002,0.0002,0.0002,0.0003,0.0005,0.0007,0.0009,0.0011,0.0012,0.0014,0.0015,0.0015,0.0016,0.0016,0.0017,0.0017,0.0018,0.0018,0.0019,0.0019,0.0019,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0019,0.0019,0.0018,0.0017,0.0016,0.0016,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0016,0.0016,0.0017,0.0018,0.0019,0.0019,0.002,0.0021,0.0021,0.0022,0.0022
D2,0.346,0.0184,0.0186,0.0187,0.019,0.0194,0.0198,0.0203,0.0214,0.0223,0.0231,0.0237,0.024,0.0241,0.024,0.0242,0.0242,0.0238,0.0238,0.0236,0.0235,0.0232,0.0223,0.0225,0.0225,0.0219,0.0197,0.0167,0.0148,0.0118,0.0085,0.0056,0.0049,0.0059,0.006,0.0054,0.0041,0.0035,0.0021,0,-0.0019,-0.003,-0.0022,-0.0028,-0.0023,-0.0018,-0.0015,-0.0005,-0.0003,0.0017,0.0037,0.0047,0.006,0.0058,0.0049,0.0034,-0.0003,-0.0034,-0.0073,-0.0104,-0.0127,-0.0148,-0.0159,-0.0172,-0.0181,-0.0179,-0.0175,-0.0165,-0.0151,-0.0134,-0.0114,-0.0096,-0.0081,-0.0068,-0.0058,-0.0048,-0.004,-0.0032,-0.0025,-0.0019,-0.0014,-0.0009,-0.0005,-0.0001,0.0002,0.0005,0.0007,0.0009,0.0011,0.0013,0.0015,0.0016,0.0017,0.0018,0.0018,0.0018,0.0017,0.0016,0.0014,0.0012,0.0009,0.0007,0.0003,-0.0001,-0.0005,-0.0009,-0.0014,-0.0018,-0.0022,-0.0024,-0.0025,-0.0024,-0.0022,-0.0018,-0.0013,-0.0008,-0.0003,0.0002,0.0005,0.0008,0.001,0.0011,0.0012,0.0013,0.0014,0.0014,0.0015,0.0016,0.0016,0.0017,0.0017,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0017,0.0016,0.0015,0.0013,0.0011,0.0009,0.0007,0.0005,0.0003,0.0002,0.0001,0.0001,0.0002,0.0003,0.0005,0.0007,0.0009,0.0011,0.0013,0.0015,0.0017,0.0018,0.0019,0.0019
D3,0.462,0.0168,0.0173,0.0174,0.0177,0.018,0.0182,0.0186,0.019,0.0195,0.0201,0.0207,0.0212,0.0217,0.0226,0.0237,0.0241,0.0241,0.0241,0.0235,0.0224,0.0209,0.0194,0.0194,0.0193,0.0195,0.0194,0.0183,0.0177,0.0158,0.0127,0.0102,0.0074,0.0049,0.0029,0.0002,-0.0015,-0.0031,-0.0049,-0.0055,-0.0054,-0.0047,-0.0028,-0.0029,-0.0007,0.0014,0.0033,0.0043,0.0042,0.0068,0.008,0.0076,0.006,0.0055,0.0048,0.0025,-0.0007,-0.0033,-0.0046,-0.0064,-0.0077,-0.0092,-0.0109,-0.0123,-0.014,-0.0146,-0.0152,-0.0151,-0.0142,-0.0128,-0.0112,-0.0098,-0.0086,-0.0075,-0.0065,-0.0057,-0.005,-0.0043,-0.0037,-0.0031,-0.0027,-0.0022,-0.0019,-0.0015,-0.0012,-0.001,-0.0007,-0.0005,-0.0003,-0.0002,0,0.0001,0.0002,0.0003,0.0003,0.0003,0.0003,0.0002,0.0001,-0.0001,-0.0003,-0.0006,-0.0008,-0.0012,-0.0015,-0.0019,-0.0023,-0.0027,-0.003,-0.0032,-0.0033,-0.0032,-0.003,-0.0027,-0.0023,-0.0018,-0.0014,-0.001,-0.0007,-0.0004,-0.0002,-0.0001,0,0.0001,0.0002,0.0003,0.0003,0.0004,0.0004,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0004,0.0004,0.0003,0.0002,0,-0.0001,-0.0003,-0.0004,-0.0006,-0.0007,-0.0008,-0.0009,-0.0009,-0.0008,-0.0007,-0.0006,-0.0004,-0.0001,0.0001,0.0003,0.0004,0.0006,0.0007,0.0008,0.0008
D4,0.579,0.0162,0.0167,0.017,0.0174,0.0178,0.0178,0.0178,0.0179,0.0181,0.0181,0.0181,0.0179,0.018,0.018,0.0181,0.0183,0.018,0.0179,0.0176,0.017,0.0167,0.0156,0.0156,0.016,0.0157,0.0151,0.0139,0.0134,0.0119,0.0097,0.0081,0.0065,0.0058,0.0051,0.0042,0.0039,0.0038,0.0044,0.0054,0.0066,0.0073,0.0085,0.0082,0.008,0.0072,0.0061,0.0045,0.0027,0.0016,0.0007,0.0005,-0.0008,-0.0013,-0.0021,-0.0023,-0.0038,-0.0047,-0.0055,-0.0059,-0.0061,-0.0074,-0.0087,-0.0106,-0.0125,-0.0135,-0.0142,-0.0141,-0.0133,-0.012,-0.0103,-0.009,-0.0079,-0.007,-0.0062,-0.0056,-0.0049,-0.0044,-0.0038,-0.0033,-0.0029,-0.0025,-0.0021,-0.0017,-0.0014,-0.0012,-0.0009,-0.0007,-0.0006,-0.0004,-0.0003,-0.0003,-0.0002,-0.0001,-0.0001,-0.0001,-0.0001,-0.0002,-0.0002,-0.0003,-0.0005,-0.0006,-0.0008,-0.001,-0.0013,-0.0016,-0.0019,-0.0021,-0.0024,-0.0025,-0.0026,-0.0025,-0.0023,-0.002,-0.0017,-0.0013,-0.0009,-0.0006,-0.0003,-0.0001,0.0001,0.0002,0.0002,0.0003,0.0004,0.0004,0.0005,0.0005,0.0006,0.0007,0.0007,0.0008,0.0008,0.0008,0.0008,0.0007,0.0007,0.0006,0.0006,0.0005,0.0004,0.0003,0.0002,0.0001,0,-0.0002,-0.0003,-0.0004,-0.0004,-0.0005,-0.0004,-0.0003,-0.0002,0,0.0001,0.0003,0.0004,0.0005,0.0006,0.0007,0.0008,0.0008
D5,0.693,0.0206,0.0211,0.0214,0.0217,0.0222,0.0223,0.0226,0.0228,0.023,0.0232,0.0233,0.0236,0.0244,0.0255,0.0269,0.0278,0.0279,0.0285,0.0287,0.0285,0.0282,0.027,0.0264,0.0258,0.0242,0.0213,0.017,0.0149,0.0128,0.0105,0.0089,0.0079,0.0075,0.0066,0.0044,0.0022,0.0002,-0.0018,-0.0026,-0.0026,-0.0021,-0.0009,-0.0016,-0.0018,-0.0017,-0.0019,-0.0024,-0.0034,-0.0022,-0.0016,-0.0017,-0.0033,-0.0052,-0.0078,-0.0105,-0.0131,-0.0138,-0.0134,-0.0119,-0.0107,-0.0102,-0.0105,-0.0125,-0.0151,-0.0166,-0.0177,-0.0178,-0.0169,-0.0151,-0.0129,-0.0111,-0.0097,-0.0086,-0.0076,-0.0068,-0.006,-0.0053,-0.0046,-0.0039,-0.0033,-0.0028,-0.0023,-0.0019,-0.0015,-0.0012,-0.0009,-0.0007,-0.0005,-0.0004,-0.0002,-0.0001,-0.0001,0,0.0001,0.0001,0.0001,0,-0.0001,-0.0002,-0.0003,-0.0005,-0.0008,-0.0011,-0.0014,-0.0018,-0.0022,-0.0025,-0.0028,-0.003,-0.0031,-0.003,-0.0028,-0.0024,-0.0019,-0.0014,-0.001,-0.0005,-0.0002,0.0001,0.0003,0.0004,0.0006,0.0007,0.0008,0.0008,0.0009,0.001,0.0011,0.0011,0.0012,0.0012,0.0012,0.0012,0.0012,0.0011,0.0011,0.001,0.0009,0.0008,0.0007,0.0006,0.0004,0.0002,0.0001,-0.0001,-0.0003,-0.0004,-0.0004,-0.0004,-0.0004,-0.0002,-0.0001,0.0001,0.0004,0.0006,0.0008,0.0009,0.0011,0.0012,0.0012,0.0013
D6,0.809,0.0229,0.023,0.0232,0.0236,0.0242,0.0244,0.025,0.026,0.027,0.0277,0.028,0.0282,0.0284,0.0287,0.0289,0.0294,0.03,0.0312,0.0321,0.0326,0.0329,0.0323,0.0324,0.0319,0.0308,0.0283,0.0243,0.0209,0.0171,0.0116,0.0061,0.0024,0.0007,-0.0002,-0.0019,-0.0032,-0.0031,-0.0021,-0.0015,-0.0015,-0.0009,0.0014,0.0035,0.0052,0.0071,0.0077,0.0081,0.0079,0.0075,0.0067,0.0051,0.0032,0.0024,0.001,-0.0004,-0.0014,-0.0023,-0.0032,-0.0044,-0.0054,-0.0074,-0.0112,-0.015,-0.0189,-0.0209,-0.0223,-0.0227,-0.0215,-0.0195,-0.017,-0.0148,-0.0131,-0.0117,-0.0105,-0.0094,-0.0084,-0.0075,-0.0067,-0.0059,-0.0052,-0.0045,-0.0039,-0.0034,-0.0029,-0.0025,-0.0022,-0.0019,-0.0017,-0.0015,-0.0013,-0.0012,-0.0011,-0.001,-0.0009,-0.0009,-0.001,-0.001,-0.0012,-0.0013,-0.0016,-0.0018,-0.0022,-0.0026,-0.003,-0.0035,-0.004,-0.0045,-0.0049,-0.0052,-0.0053,-0.0052,-0.0049,-0.0045,-0.0039,-0.0033,-0.0027,-0.0021,-0.0017,-0.0014,-0.0011,-0.0009,-0.0008,-0.0007,-0.0006,-0.0005,-0.0004,-0.0003,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0003,-0.0004,-0.0005,-0.0006,-0.0007,-0.0009,-0.0011,-0.0014,-0.0016,-0.0018,-0.002,-0.0021,-0.0022,-0.0022,-0.0021,-0.0019,-0.0017,-0.0014,-0.0011,-0.0008,-0.0006,-0.0004,-0.0002,-0.0001,0,0.0001
D7,0.924,0.0256,0.026,0.0265,0.027,0.0277,0.0282,0.029,0.0301,0.0311,0.032,0.0329,0.0335,0.0341,0.0345,0.035,0.0355,0.0356,0.036,0.036,0.0358,0.0352,0.0333,0.0313,0.0296,0.0271,0.0231,0.0185,0.015,0.0117,0.0081,0.0048,0.0038,0.0038,0.0039,0.0034,0.0034,0.0031,0.0015,0.0008,-0.0003,-0.0007,-0.0002,-0.0013,-0.0002,0.0006,0.0014,0.0018,0.0015,0.0023,0.0029,0.0028,0.0024,0.0027,0.0026,0.0021,0.0006,-0.0024,-0.0056,-0.0101,-0.0144,-0.0194,-0.0238,-0.0264,-0.0287,-0.0285,-0.0278,-0.026,-0.0234,-0.0207,-0.0179,-0.0156,-0.0137,-0.012,-0.0106,-0.0093,-0.0082,-0.0071,-0.0062,-0.0053,-0.0044,-0.0037,-0.003,-0.0024,-0.0019,-0.0014,-0.001,-0.0006,-0.0003,0,0.0002,0.0003,0.0005,0.0006,0.0006,0.0006,0.0005,0.0004,0.0003,0.0001,-0.0002,-0.0006,-0.001,-0.0014,-0.0019,-0.0025,-0.0031,-0.0036,-0.0041,-0.0045,-0.0046,-0.0045,-0.0042,-0.0037,-0.003,-0.0023,-0.0016,-0.001,-0.0005,-0.0001,0.0002,0.0004,0.0006,0.0007,0.0008,0.0009,0.001,0.001,0.0011,0.0012,0.0012,0.0012,0.0013,0.0013,0.0012,0.0012,0.0011,0.001,0.0009,0.0007,0.0005,0.0002,0,-0.0003,-0.0006,-0.0008,-0.0011,-0.0013,-0.0014,-0.0014,-0.0013,-0.0011,-0.0009,-0.0006,-0.0003,0,0.0003,0.0005,0.0007,0.0008,0.0009,0.0009
